position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
332,319,You Xiaoping,You,you-xiaoping,you-xiaoping,1000,57,"chemicals, spandex",Manufacturing,M
333,319,Yu Minhong,Yu,yu-minhong,yu-minhong,1000,53,education,Service,M
334,319,Yuan Zhimin,Yuan,yuan-zhimin,yuan-zhimin,1000,54,plastic,,M
335,319,Zhang Lei,Zhang,zhang-lei-1,zhang-lei-1,1000,,investments,,
336,336,Liu Jianmin & wife,Liu,liu-jianmin,no-pic,980,62,energy,,M
337,337,Liu Haibin,Liu,liu-haibin,no-pic,970,52,consumer products,,M
338,338,Mou Jinxiang,Mou,mou-jinxiang,no-pic-female,960,61,chemicals,,F
339,339,Cao Renxian,Cao,cao-renxian,no-pic,950,47,photovoltaic equipment,,M
340,339,Chen Rong,Chen,chen-rong,no-pic,950,57,diversified,Diversified,M
341,339,Wang Jinshu,Wang,wang-jinshu,no-pic,950,58,chemicals,Manufacturing,M
342,339,Wang Yanqing,Wang,wang-yanqing,no-pic,950,49,electrical equipment,,M
343,339,Xu Qiming,Xu,xu-qiming,xu-qiming,950,52,"food, art",,M
344,344,Miao Hangen,Miao,miao-hangen,miao-hangen,940,50,"textiles, petrochemicals",,M
345,344,Shao Qinxiang,Shao,shao-qinxiang,no-pic,940,61,diversified,,M
346,344,Sun Shangchuan,Sun,sun-shangchuan,no-pic,940,52,electronics components,Technology,M
347,344,Yang Zhimao,Yang,yang-zhimao,no-pic,940,52,"utilities, real estate",Diversified,M
348,348,Yao Jinbo,Yao,yao-jinbo,yao-jinbo,935,39,online marketplace,,M
349,348,Zhou Yunjie,Zhou,zhou-yunjie,zhou-yunjie,935,54,containers & packaging,,M
350,350,Chen Jinfeng,Chen,chen-jinfeng,no-pic-female,930,52,retail-appliances,,F
351,350,Chen Yihong,Chen,chen-yihong,chen-yihong,930,57,retail,Fashion and Retail,M
352,350,Hao Zhenxi,Hao,hao-zhenxi,no-pic,930,47,medical instruments,,M
353,350,Lu Jonathan,Lu,lu-jonathan,no-pic,930,,Alibaba,,M
354,350,Peng Lei,Peng,peng-lei,peng-lei,930,,Alibaba,,F
355,350,Wang Yunfu,Wang,wang-yunfu,no-pic,930,53,"chemicals, pharmaceutical",,M
356,356,Fan Yonggui,Fan,fan-yonggui,no-pic,920,65,joint-equity,,M
357,356,Hu Jiqiang,Hu,hu-jiqiang,hu-jiqiang,920,54,pharmaceuticals,,M
358,356,Wang Xicheng,Wang,wang-xicheng,no-pic,920,67,tires,Manufacturing,M
359,356,Yang Wenlong,Yang,yang-wenlong,no-pic,920,53,pharmaceutical,,M
360,356,Yao Wenbin,Yao,yao-wenbin,no-pic,920,45,software,Technology,M
361,361,Su Zengfu,Su,su-zengfu,su-zengfu,915,74,housewares,,M
362,361,Zhang Haiming,Zhang,zhang-haiming,no-pic,915,54,health care facilities,,M
363,363,Hu Baifan,Hu,hu-baifan,hu-baifan,910,53,"vitamins, pharmaceuticals",,M
364,363,Lu Keping,Lu,lu-keping,lu-keping,910,71,"textiles, solar energy",,M
365,363,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,910,44,supermarket,,M
366,363,Zhou Fuhai,Zhou,zhou-fuhai,no-pic,910,55,aluminum products,,M
367,367,Ai Lihua,Ai,ai-lihua,no-pic,900,57,electrical equipment,,M
368,367,Cui Genliang,Cui,cui-genliang,cui-genliang,900,57,manufacturing,,M
369,367,Huang Nubo,Huang,huang-nubo,huang-nubo,900,59,real estate,,M
370,367,Li Dongjun,Li,li-dongjun,no-pic,900,,logistics,,M
371,367,Li Yongjun,Li,li-yongjun,no-pic,900,48,food,Food and Beverage,M
372,367,Liu Chengyan,Liu,liu-chengyan,no-pic,900,50,IT services,,M
373,367,Niu Yishun,Niu,niu-yishun,no-pic,900,60,tires,Manufacturing,M
374,367,Wang Qicheng,Wang,wang-qicheng,no-pic,900,35,entertainment,,M
375,367,Wang Xiue,Wang,wang-xiue,no-pic-female,900,47,"real estate, insurance",,F
376,367,Zhao Buchang,Zhao,zhao-buchang,zhao-buchang,900,73,pharmaceuticals,Healthcare,M
377,377,Wu Qiang,Wu,wu-qiang,no-pic,895,35,investments,,M
378,378,Gao Yugen,Gao,gao-yugen,no-pic,890,49,manufacturing,,M
379,378,Liu Guoben,Liu,liu-guoben,no-pic,890,71,auto parts,,M
380,378,Qian Yixiang,Qian,qian-yixiang,qian-yixiang,890,41,electrical power equipment,,M
381,378,Sun Yi,Sun,sun-yi,no-pic,890,48,manufacturing,,M
382,382,Meng Qingnan,Meng,meng-qingnan,no-pic,885,57,telecommunications,Telecom,M
383,382,Wang Zhentao,Wang,wang-zhentao,wang-zhentao,885,50,shoes,,M
384,384,Cheung Yan,Cheung,cheung-yan,cheung-yan,880,58,paper,Manufacturing,F
385,384,Wang Kunxiao,Wang,wang-kunxiao,no-pic,880,46,oilfield equipment,Manufacturing,M
386,384,Xia Dinghu,Xia,xia-dinghu-1,no-pic,880,,auto parts,,M
387,387,Chen Chichang,Chen,chen-chichang,no-pic,875,44,education,,M
388,388,Lin Guofang,Lin,lin-guofang,no-pic,870,61,textile,,M
389,388,Yan Xijun,Yan,yan-xijun,yan-xijun,870,62,pharmaceuticals,,M
390,390,Wan Yongxing,Wan,wan-yongxing,no-pic,865,44,logistics & real estate,,M
391,390,Wang Youlin,Wang,wang-youlin,no-pic,865,52,electrical equipment,,M
392,392,Chen Jiangtao,Chen,chen-jiangtao,no-pic,860,54,software,,M
393,392,Zhu Guoding,Zhu,zhu-guoding,no-pic,860,50,electrical equipment,,M
394,394,Hon Kwok Lung,Hon,hon-kwok-lung,no-pic,850,60,real estate,,M
395,394,Wang Yonghong,Wang,wang-yonghong,no-pic,850,43,real estate,,M
396,394,Xu Chuanhua,Xu,xu-chuanhua,no-pic,850,80,chemicals,Manufacturing,M
397,394,Yang Jianxin & wife,Yang,yang-jianxin,no-pic,850,46,apparel,,M
398,394,Wenchen Yao,Yao,wenchen-yao,no-pic,850,,playing cards,,
399,394,Ye Yuanxi,Ye,ye-yuanxi,ye-yuanxi,850,53,decorations,Service,M
400,394,Zhang Xuanning,Zhang,zhang-xuanning,no-pic,850,45,retail,,M
